state_id,state,zone,optimal_value,optimal_action,Q_Move-Forward,Q_Slight-Right-Turn,Q_Sharp-Right-Turn,Q_Slight-Left-Turn,samples_per_action
17,F 0.90–1.10 · L 0.60–0.75,Tracking band,12.189735,Sharp-Right-Turn,11.489265,11.945422,12.189736,9.227615,1826
18,F 0.90–1.10 · L 0.75–0.90,Tracking band,8.936922,Slight-Right-Turn,8.602496,8.936923,8.890898,7.542288,782
19,F 0.90–1.10 · L 0.90–1.20,Drifting,3.501495,Slight-Right-Turn,3.275351,3.501496,3.337187,2.734841,736
20,F 0.90–1.10 · L >1.20,Wall lost,-3.196687,Sharp-Right-Turn,-3.579789,-3.342227,-3.196686,-3.788165,774
21,F 1.10–1.50 · L ≤0.42,Danger,3.627316,Slight-Right-Turn,2.726292,3.627317,3.344685,0.963845,164
22,F 1.10–1.50 · L 0.42–0.49,Caution,9.599462,Sharp-Right-Turn,8.948379,9.499004,9.599463,8.093394,263
23,F 1.10–1.50 · L 0.49–0.60,Tracking band,12.552767,Move-Forward,12.552768,12.363194,12.235779,11.741136,1444
24,F 1.10–1.50 · L 0.60–0.75,Tracking band,12.724626,Move-Forward,12.724627,12.307387,12.114566,12.118629,1918
25,F 1.10–1.50 · L 0.75–0.90,Tracking band,9.699651,Move-Forward,9.699652,9.183498,9.200674,9.04854,904
26,F 1.10–1.50 · L 0.90–1.20,Drifting,3.079863,Slight-Left-Turn,2.919358,2.418181,2.123793,3.079863,1532
27,F 1.10–1.50 · L >1.20,Wall lost,-2.216067,Slight-Left-Turn,-2.458839,-2.459891,-2.677097,-2.216066,1804
28,F 1.50–2.00 · L ≤0.42,Danger,5.513223,Slight-Right-Turn,4.700362,5.513224,4.564021,3.211446,141
29,F 1.50–2.00 · L 0.42–0.49,Caution,11.040262,Move-Forward,11.040263,10.918356,10.514224,10.08412,202
30,F 1.50–2.00 · L 0.49–0.60,Tracking band,12.766428,Move-Forward,12.766429,12.382749,12.169147,12.429491,1028
31,F 1.50–2.00 · L 0.60–0.75,Tracking band,12.318057,Slight-Left-Turn,12.240653,11.44378,11.349323,12.318058,1672
32,F 1.50–2.00 · L 0.75–0.90,Tracking band,9.630714,Slight-Left-Turn,8.689099,7.159591,7.134844,9.630715,1227
33,F 1.50–2.00 · L 0.90–1.20,Drifting,4.037741,Slight-Left-Turn,3.523771,2.67357,2.363324,4.037742,1749
34,F 1.50–2.00 · L >1.20,Wall lost,-1.652959,Slight-Left-Turn,-1.801848,-1.890485,-2.153372,-1.652958,2003
35,F >2.00 · L ≤0.42,Danger,2.783644,Slight-Right-Turn,1.907503,2.783644,2.249705,1.384695,793
36,F >2.00 · L 0.42–0.49,Caution,8.719558,Slight-Right-Turn,8.259394,8.719558,8.436213,8.344347,519
37,F >2.00 · L 0.49–0.60,Tracking band,11.520184,Slight-Left-Turn,11.404227,11.293947,11.137829,11.520185,1252
38,F >2.00 · L 0.60–0.75,Tracking band,12.05539,Slight-Left-Turn,12.007382,11.573442,11.440386,12.055391,1654
39,F >2.00 · L 0.75–0.90,Tracking band,9.574132,Slight-Left-Turn,8.594445,7.625238,7.676424,9.574133,888
40,F >2.00 · L 0.90–1.20,Drifting,2.918389,Slight-Left-Turn,2.607465,2.377056,2.22973,2.91839,2244
41,F >2.00 · L >1.20,Wall lost,-1.825166,Slight-Left-Turn,-1.956255,-2.076157,-2.320154,-1.825165,2191
42,Crash,Crash,0.0,—,0.0,0.0,0.0,0.0,1
